Series Name,Series Code,Country Name,Country Code,2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Norway,NOR,78.815,79.102,79.455,79.874,80.286,80.692,81.091,81.485,81.871,82.248,82.616,82.974,83.323,83.664,83.995
GDP (current US$),NY.GDP.MKTP.CD,New Zealand,NZL,121373602348.679,146517541181.254,168295307149.46,176210710655.208,190909855416.34,201337554959.49,178104220784.881,188898209220.167,206566916732.292,211846555690.736,212846907683.439,212697530897.56,253644079784.977,246733522841.353,253465703232.146
GDP (current US$),NY.GDP.MKTP.CD,India,IND,1341888016994.9,1675615519484.96,1823051829895.13,1827637590410.95,1856721507621.46,2039126479155.27,2103588360044.39,2294796885663.67,2651474262755.59,2702929641648.14,2835606256558.84,2674851578586.86,3167270623260.52,3353470496885.95,3549918918777.53
GDP (current US$),NY.GDP.MKTP.CD,Norway,NOR,387976400617.019,431052143940.438,501360549669.404,512777309840.997,526014468085.106,501736471832.848,388159512245.53,370956547619.048,401745275035.261,439788625883.8,408742840909.091,367633418886.627,503367986030.268,593726965415.619,485513316503.63
GDP per capita (Current US$),NY.GDP.PCAP.CD,New Zealand,NZL,28209.3623271229,33676.7741239925,38388.5280906616,39974.2997334925,42977.388040868,44578.2253868016,38639.3501941427,40070.8956577431,42913.186956185,43228.6976473771,42747.2099299966,41785.6922905898,49624.1816729554,48216.5095836303,48527.828920018
GDP per capita (Current US$),NY.GDP.PCAP.CD,India,IND,1096.63613606381,1350.63447029137,1449.60330101112,1434.01798692108,1438.05700503424,1559.86377864962,1590.17433134297,1714.27953738629,1957.96981331058,1974.37773145023,2050.16380022056,1915.55158799947,2250.1790176424,2366.30960899931,2484.8454294403
GDP per capita (Current US$),NY.GDP.PCAP.CD,Norway,NOR,80347.5700665184,88163.2085931423,101221.813476644,102175.919298374,103553.840134417,97666.6951838749,74809.9658049898,70867.3609970749,76131.8384032764,82792.8427113305,76430.5889473339,68340.0181033702,93072.8925119571,108798.451165901,87961.7806135072
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,New Zealand,NZL,-0.051952422293283,1.44462128410649,2.24134221542516,2.2894629674209,2.76017958953716,3.75431941509395,3.73403577291154,3.74831145236631,3.39728250444887,3.49949703045593,2.36196217785604,-0.424906457573115,4.54624763852878,2.7748426484212,0.632242361629224
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,India,IND,7.86188883286074,8.49758470221235,5.24131619938926,5.45638755164701,6.38610640092348,7.41022760516408,7.99625378566586,8.25630550178155,6.79538341898569,6.4538513449766,3.87143694070957,-5.77772470687434,9.68959249191211,6.98703932576051,7.58397112433558
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Norway,NOR,-1.94036469505112,0.787051845495441,1.10565602733728,2.71795926678982,1.01619082409272,2.04813199855084,1.85733972643303,1.16472423497285,2.46374628510146,0.828900664137592,1.12377787436797,-1.2781717845226,3.90868677689417,3.00563516076298,0.514118226595343
"Unemployment, male (% of male labor force) (modeled ILO estimate)",SL.UEM.TOTL.MA.ZS,New Zealand,NZL,6.101,6.225,6.251,6.516,5.307,4.794,4.974,4.812,4.285,4.191,3.828,4.249,3.675,3.083,3.533
"Unemployment, male (% of male labor force) (modeled ILO estimate)",SL.UEM.TOTL.MA.ZS,India,IND,8.337,8.255,8.164,8.105,8.043,7.952,7.858,7.769,7.697,7.632,6.656,8.226,6.717,4.905,4.218
"Unemployment, male (% of male labor force) (modeled ILO estimate)",SL.UEM.TOTL.MA.ZS,Norway,NOR,3.554,4.039,3.417,3.56,3.595,3.707,4.56,5.362,4.583,4.032,3.95,4.682,4.558,3.373,3.675
"Unemployment, female (% of female labor force) (modeled ILO estimate)",SL.UEM.TOTL.FE.ZS,New Zealand,NZL,6.143,6.928,6.759,7.388,6.423,6.126,5.903,5.518,5.237,4.495,4.419,4.982,3.888,3.532,3.962
"Unemployment, female (% of female labor force) (modeled ILO estimate)",SL.UEM.TOTL.FE.ZS,India,IND,8.604,8.502,8.393,8.311,8.225,8.115,8.003,7.895,7.801,7.713,6.075,6.756,5.391,4.585,4.059
"Unemployment, female (% of female labor force) (modeled ILO estimate)",SL.UEM.TOTL.FE.ZS,Norway,NOR,2.604,2.944,2.991,2.634,3.231,3.236,3.999,3.913,3.692,3.54,3.393,4.13,4.151,3.074,3.475
"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,New Zealand,NZL,6.121,6.557,6.491,6.931,5.839,5.428,5.415,5.147,4.736,4.335,4.109,4.595,3.776,3.297,3.737
"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,India,IND,8.406,8.318,8.222,8.156,8.088,7.992,7.894,7.8,7.723,7.652,6.51,7.859,6.38,4.822,4.172
"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,Norway,NOR,3.103,3.521,3.215,3.123,3.423,3.484,4.296,4.679,4.162,3.8,3.687,4.422,4.369,3.233,3.581
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,,,,
Last Updated: 09/24/2024,,,,,,,,,,,,,,,,,,
